entry_id,hospital_name,hospital_lat,hospital_lng,speciality,general_beds,icu_beds,ventilators,ambulance_type_needed,symptom,severity,traffic_level,waiting_time_min
39,CritiCare Hospital,19.076284979546585,72.97649454925173,Cardiology,26,23,13,ICU,vomiting,moderate,Moderate,101
40,Jaslok Hospital,19.25214193472269,72.91436833677501,Burns,124,45,17,ICU,fever,mild,High,66
41,SRV Hospital Goregaon,19.253782088969928,72.79640530387468,Neurology,51,8,9,Cardiac,headache,mild,Low,19
42,Nanavati Max Hospital,18.89361733470327,72.7548364105909,Gynecology,26,42,9,BLS,burn injury,moderate,High,28
43,Bhaktivedanta Hospital,19.222883883666842,72.76653618052231,Pediatrics,119,0,17,BLS,burn injury,moderate,Low,70
44,Lilavati Hospital,19.226219097748416,72.89310100811686,Pediatrics,3,29,17,ALS,headache,mild,High,80
45,Terna Hospital,19.204652559635022,72.77696428213619,Pediatrics,71,5,8,Cardiac,fracture,moderate,Moderate,109
46,Cooper Hospital,19.220778604613443,72.83247406839992,Pulmonology,35,16,0,BLS,bleeding,severe,Low,34
47,Fortis Hospital Mulund,18.988850365359397,72.98627342263435,Cardiology,71,11,11,BLS,high blood pressure,moderate,High,99
48,Reliance Hospital,19.19614934503869,72.83427596311417,Cardiology,32,28,20,ICU,headache,mild,Moderate,63
49,Fortis Hospital Mulund,19.189427079939282,72.93585070351398,General Medicine,120,16,4,BLS,bleeding,severe,Low,31
50,Hiranandani Hospital Powai,19.159969621783013,72.98053247022331,Neurology,40,47,18,ICU,unconscious,severe,High,115
51,Hiranandani Hospital Powai,18.95413769609551,72.79709456702106,General Medicine,132,49,11,ALS,dizziness,mild,High,86
52,Holy Spirit Hospital,19.043697058327574,72.97611349948758,Pediatrics,116,50,4,BLS,dizziness,mild,Low,100
53,Jaslok Hospital,18.973185705018214,72.83004047168203,Pulmonology,129,15,11,ICU,fracture,moderate,High,111
54,Lilavati Hospital,19.121317093819314,72.85000103012882,Orthopedics,94,2,3,ICU,headache,mild,High,20
55,Shushrusha Hospital,19.111976704480696,72.85897228864182,Burns,17,44,9,ICU,high blood pressure,moderate,Low,106
56,Sion Hospital,19.234865125408348,72.8282748515232,Burns,106,14,3,BLS,headache,mild,High,8
57,CritiCare Hospital,19.173398856367342,72.77579609975504,Cardiology,9,37,11,ICU,burn injury,moderate,Moderate,29
58,Sushrut Hospital,19.298600905073496,72.9724595739267,Trauma,10,8,3,Cardiac,unconscious,severe,High,14
59,Bombay Hospital,18.988890663377553,72.95345171112237,Burns,96,5,16,BLS,chest pain,severe,High,69
60,Kokilaben Dhirubhai Ambani Hospital,19.16160515045882,72.91135437227838,Orthopedics,66,42,15,Cardiac,vomiting,moderate,Moderate,26
61,CritiCare Hospital,19.171658656464107,72.98060129147187,Trauma,41,16,11,BLS,fracture,moderate,Moderate,111
62,Fortis Hospital Mulund,19.046082547585083,72.90291928515263,Pulmonology,43,45,10,Cardiac,fracture,moderate,Moderate,32
63,Reliance Hospital,19.119031246249,72.97201245831677,Pulmonology,80,12,1,ICU,bleeding,severe,Low,66
64,Jaslok Hospital,19.036382716139443,72.80812442081263,Gynecology,34,36,14,Cardiac,headache,mild,Moderate,105
65,Hinduja Hospital Mahim,19.07035901195722,72.76975582548835,Cardiology,35,25,9,ALS,burn injury,moderate,Low,81
66,Reliance Hospital,18.974819828730343,72.83417105341191,Pediatrics,30,37,1,BLS,fracture,moderate,High,8
67,Terna Hospital,18.984501075410236,72.93124184132897,Orthopedics,49,26,17,BLS,chest pain,severe,Moderate,75
68,Cooper Hospital,19.24695909183306,72.84037714162234,Gynecology,101,32,19,BLS,chest pain,severe,High,109
69,SL Raheja Hospital,18.9131642645111,72.93690339969511,Pediatrics,124,3,3,Cardiac,breathing difficulty,severe,Moderate,54
70,Kokilaben Dhirubhai Ambani Hospital,19.226345867698175,72.76114189151535,Gynecology,103,23,5,BLS,fever,mild,Moderate,43
71,Nanavati Max Hospital,18.947584044172775,72.95618404843374,Orthopedics,69,6,8,ALS,breathing difficulty,severe,Moderate,37
72,Shushrusha Hospital,19.073366026057368,72.86168775417518,Burns,105,38,9,ICU,bleeding,severe,High,39
73,SRV Hospital Goregaon,19.02424650292085,72.95810397443255,Pediatrics,150,34,5,BLS,high blood pressure,moderate,Moderate,71
74,Sushrut Hospital,19.14354602403314,72.96074090811415,Trauma,132,10,9,Cardiac,burn injury,moderate,Moderate,65
75,Reliance Hospital,19.291177865704977,72.76913330752296,General Medicine,66,3,6,ICU,bleeding,severe,High,24
76,Jaslok Hospital,19.210990183677684,72.90215359376597,Orthopedics,89,6,16,BLS,burn injury,moderate,High,50
77,SRV Hospital Goregaon,18.93668887630134,72.87789943986293,Gynecology,143,29,19,ICU,fever,mild,Moderate,104
78,SRV Hospital Goregaon,19.12733009170949,72.95852527884196,Gynecology,43,30,19,ICU,headache,mild,Low,12
79,Terna Hospital,19.071102673881725,72.80812513963001,Burns,41,33,8,ALS,headache,mild,Low,118
80,Hiranandani Hospital Powai,19.012759775272524,72.96504676644277,Pediatrics,133,45,14,BLS,bleeding,severe,Moderate,73
81,Holy Spirit Hospital,18.891253088217425,72.82767847705304,Trauma,134,41,10,Cardiac,breathing difficulty,severe,Moderate,111
82,SL Raheja Hospital,19.10409951384069,72.90976367015354,Neurology,113,14,1,BLS,burn injury,moderate,High,94
83,Jaslok Hospital,19.04817616621707,72.90169040602949,Pulmonology,96,23,6,ICU,high blood pressure,moderate,Low,104
84,Tata Memorial Hospital,19.04793247458322,72.84908679002884,Cardiology,1,12,11,BLS,burn injury,moderate,Moderate,81
85,SRV Hospital Goregaon,18.911554180272063,72.92674118296574,Burns,133,0,2,BLS,unconscious,severe,High,50
86,Shivaji Park Hospital,19.214908475769974,72.95011139738787,Burns,42,13,2,Cardiac,unconscious,severe,High,78
87,Hinduja Hospital Mahim,19.042435077189975,72.90660063293176,General Medicine,119,1,11,Cardiac,high blood pressure,moderate,High,34
88,Fortis Hospital Mulund,19.20999180269977,72.85291289996042,Pediatrics,104,6,19,ICU,breathing difficulty,severe,Low,25
89,Saifee Hospital,19.1810587138981,72.88931172571401,Pulmonology,112,38,7,ICU,unconscious,severe,Low,22
90,SL Raheja Hospital,18.895831126959187,72.76625126660143,Pulmonology,47,35,11,BLS,breathing difficulty,severe,Moderate,21
91,Nair Hospital,19.100967915308402,72.93883902359849,Orthopedics,73,32,18,Cardiac,dizziness,mild,Low,102
92,Sushrut Hospital,19.277920445190986,72.94922746735298,Pediatrics,111,48,9,ICU,fracture,moderate,High,64
93,Bombay Hospital,19.00104290994591,72.82751353190687,Cardiology,24,38,2,BLS,fracture,moderate,High,59
94,CritiCare Hospital,19.04355780152888,72.91135776715886,Cardiology,38,24,13,ALS,burn injury,moderate,Moderate,114
95,Sushrut Hospital,18.962223954242393,72.89512873796654,Pulmonology,47,9,14,ALS,fever,mild,Moderate,6
96,Nanavati Max Hospital,18.95829291182951,72.87361863661546,Gynecology,102,6,18,BLS,headache,mild,Low,115
97,Wockhardt Hospital Mumbai Central,19.168755831441615,72.90336444930718,Burns,41,46,12,ICU,bleeding,severe,Moderate,23
98,Lilavati Hospital,19.050741238636544,72.98534319207158,Pediatrics,1,25,9,Cardiac,fracture,moderate,Moderate,5
99,Nair Hospital,19.032483003768437,72.97010606169826,Burns,97,27,0,ICU,unconscious,severe,High,7
100,Shivaji Park Hospital,18.91690972659246,72.98203365579664,Neurology,112,8,6,ALS,breathing difficulty,severe,Low,67
101,KEM Hospital,18.934119926379893,72.77640638605769,Pediatrics,101,7,4,BLS,high blood pressure,moderate,Moderate,12
102,Terna Hospital,19.10807303245145,72.9215278003387,Pediatrics,21,50,8,Cardiac,breathing difficulty,severe,Moderate,24
103,SRV Hospital Goregaon,19.260675023477265,72.92640488338952,Pulmonology,8,1,7,ALS,headache,mild,Low,13
104,KEM Hospital,19.091217518022365,72.95584571261647,General Medicine,23,48,19,ICU,fracture,moderate,Low,93
105,Hinduja Hospital Mahim,19.25258653089595,72.96221693649058,Neurology,50,48,20,BLS,fever,mild,Moderate,54
106,Nanavati Max Hospital,19.2383727014046,72.944639857715,Orthopedics,18,28,4,Cardiac,breathing difficulty,severe,Low,96
107,Nair Hospital,19.234970958535555,72.82911741131564,Pediatrics,30,47,15,BLS,fever,mild,Low,84
108,Dr. LH Hiranandani Hospital,19.15683896116382,72.78948870790397,Cardiology,47,24,4,ALS,high blood pressure,moderate,Low,92
109,Terna Hospital,19.285139766757236,72.87476537497626,Cardiology,120,19,19,ICU,unconscious,severe,High,27
110,Fortis Hospital Mulund,19.174579399578903,72.80313302163836,Orthopedics,78,22,6,ALS,fracture,moderate,Moderate,99
111,SRV Hospital Goregaon,19.256846542275984,72.83189846740545,Neurology,145,33,4,BLS,bleeding,severe,High,58
112,Bombay Hospital,18.916481032944613,72.9348015455554,Neurology,150,17,10,ICU,vomiting,moderate,Low,32
113,Lilavati Hospital,19.1866931743205,72.89663469067646,Gynecology,123,37,17,ALS,high blood pressure,moderate,Low,52
114,Hiranandani Hospital Powai,18.96278925417115,72.7631219324012,Pediatrics,3,36,16,BLS,chest pain,severe,High,117
115,Tata Memorial Hospital,19.105656273335132,72.94611027358793,Pulmonology,79,4,6,Cardiac,fracture,moderate,High,100
116,Sushrut Hospital,18.88070061793813,72.82484166571882,Pediatrics,112,9,20,BLS,dizziness,mild,Moderate,96
117,Nanavati Max Hospital,19.26006772221252,72.84066967940065,Orthopedics,75,23,8,ALS,bleeding,severe,Moderate,5
118,Sion Hospital,18.888110215184145,72.80790345534068,Trauma,55,38,7,ALS,dizziness,mild,High,90
119,Bhaktivedanta Hospital,18.932693438936003,72.92787220203505,Gynecology,103,3,2,ALS,burn injury,moderate,High,31
120,Hiranandani Hospital Powai,19.1860176235602,72.81048340583138,Pediatrics,131,40,12,ALS,burn injury,moderate,High,96
121,Lilavati Hospital,19.20540526117805,72.90632800153126,Gynecology,51,46,20,ALS,headache,mild,Moderate,56
122,Cooper Hospital,19.08492366999131,72.78943581192445,Neurology,30,47,11,ALS,chest pain,severe,Moderate,63
123,Breach Candy Hospital,19.297620223900687,72.80838219789806,General Medicine,73,15,8,ALS,burn injury,moderate,High,85
124,KEM Hospital,19.197010522168938,72.75495451361498,Pediatrics,131,23,12,ICU,vomiting,moderate,Moderate,25
125,Reliance Hospital,19.166058826543146,72.9355356039236,Burns,116,47,7,ICU,unconscious,severe,Moderate,20
126,Hiranandani Hospital Powai,18.989764810630465,72.96440432754683,Pulmonology,119,8,12,ALS,breathing difficulty,severe,Moderate,107
127,Hinduja Hospital Mahim,19.06197537897429,72.85784594033224,Trauma,5,14,8,ICU,burn injury,moderate,Moderate,104
128,Hinduja Hospital Mahim,19.174270968918727,72.98704227023381,Neurology,63,26,12,ICU,fever,mild,Moderate,63
129,Sion Hospital,19.189501512670425,72.90195651126001,Gynecology,126,16,20,ICU,fracture,moderate,Low,102
130,Saifee Hospital,19.234777871716158,72.81211599395827,Orthopedics,38,2,13,Cardiac,fracture,moderate,Moderate,16
131,SL Raheja Hospital,19.23495045786672,72.95468411332882,Pediatrics,17,42,2,ICU,fracture,moderate,Moderate,49
132,Tata Memorial Hospital,19.079176411730188,72.93223892056243,Orthopedics,67,0,2,ALS,fever,mild,Moderate,59
133,CritiCare Hospital,19.182408628482086,72.91619400036576,Orthopedics,115,27,4,BLS,chest pain,severe,Low,90
134,Shushrusha Hospital,18.890165259768587,72.91993157636459,Pediatrics,33,17,0,ICU,breathing difficulty,severe,Moderate,66
135,Hinduja Hospital Mahim,19.17660261013424,72.83144975696021,Neurology,114,2,16,ICU,burn injury,moderate,High,8
136,Tata Memorial Hospital,19.299530001456727,72.82338719669796,Cardiology,128,2,2,BLS,chest pain,severe,Moderate,61
137,SL Raheja Hospital,19.260276789564077,72.9599016331196,Burns,112,25,10,Cardiac,unconscious,severe,Low,29
138,Sushrut Hospital,19.130288408130376,72.98003960471574,Burns,141,16,14,BLS,dizziness,mild,Moderate,15
139,Lilavati Hospital,19.220489448221432,72.75433009164506,General Medicine,5,19,18,ALS,high blood pressure,moderate,Low,47
140,KEM Hospital,18.955524150498885,72.86122728234196,General Medicine,55,4,4,Cardiac,breathing difficulty,severe,High,68
141,Dr. LH Hiranandani Hospital,19.25604372310437,72.94080070541735,General Medicine,25,48,10,ICU,fever,mild,Moderate,70
142,Hinduja Hospital Mahim,19.23966836080783,72.81142887823897,Orthopedics,60,25,13,Cardiac,chest pain,severe,Moderate,12
143,Fortis Hospital Mulund,19.245283163351555,72.93189339554682,Cardiology,104,2,17,Cardiac,fever,mild,Low,96
144,Wockhardt Hospital Mumbai Central,18.925151835477056,72.92597664809534,Pulmonology,103,41,9,Cardiac,chest pain,severe,Moderate,67
145,Hinduja Hospital Mahim,19.213851371658787,72.87899753749672,Pulmonology,78,41,7,BLS,vomiting,moderate,Moderate,8
146,Shivaji Park Hospital,18.90250378376227,72.98610010957195,Gynecology,54,17,20,ICU,headache,mild,High,32
147,Nair Hospital,19.229281573535996,72.93130269837089,Pulmonology,2,11,9,ICU,chest pain,severe,Moderate,65
148,Hiranandani Hospital Powai,18.98197097771397,72.8412997575081,Pediatrics,84,37,20,Cardiac,vomiting,moderate,Low,62
149,Tata Memorial Hospital,18.9754508374811,72.87362036584858,Trauma,79,20,14,ALS,fever,mild,Moderate,6
150,SRV Hospital Goregaon,19.02188176657251,72.79758576284905,Trauma,132,17,10,BLS,chest pain,severe,Moderate,114
151,Jaslok Hospital,19.06792626612731,72.7551119236347,Cardiology,142,18,8,Cardiac,vomiting,moderate,High,84
152,Fortis Hospital Mulund,19.04862372742608,72.82081430768103,Pulmonology,146,16,12,ICU,dizziness,mild,High,72
153,Wockhardt Hospital Mumbai Central,19.032860325426373,72.77064309152473,Burns,40,31,6,ICU,bleeding,severe,High,120
154,Saifee Hospital,19.27187592143474,72.75519267726949,Pediatrics,34,36,6,BLS,fracture,moderate,Moderate,16
155,Holy Spirit Hospital,18.998131227112072,72.94821316074014,Cardiology,15,5,10,BLS,fracture,moderate,High,96
156,Wockhardt Hospital Mumbai Central,18.919204153073913,72.82787023836646,Trauma,11,50,13,ICU,chest pain,severe,Low,53
157,Holy Spirit Hospital,18.89976394920767,72.76482876566702,Orthopedics,118,45,7,ICU,chest pain,severe,Moderate,5
158,Terna Hospital,18.988591173364387,72.98624870115302,Neurology,127,45,0,ICU,vomiting,moderate,Moderate,7
159,SL Raheja Hospital,18.952979274466475,72.84088051214032,Trauma,88,47,15,ALS,headache,mild,Low,43
160,Cooper Hospital,19.222976842726723,72.81030793698379,Orthopedics,56,5,5,ALS,breathing difficulty,severe,Low,51
161,Terna Hospital,19.144310132929686,72.89986417960635,Orthopedics,9,31,19,BLS,headache,mild,High,32
162,Wockhardt Hospital Mumbai Central,18.883209501335713,72.98114821644675,Orthopedics,60,24,9,ALS,headache,mild,High,116
163,CritiCare Hospital,19.14681790221687,72.96193985102114,Trauma,34,48,8,BLS,bleeding,severe,Moderate,58
164,Hiranandani Hospital Powai,19.213589536458848,72.80623045675604,Pediatrics,102,45,11,ALS,dizziness,mild,High,46
165,Jaslok Hospital,19.15260214999096,72.77583188911498,Cardiology,4,11,0,BLS,chest pain,severe,Low,83
166,Kokilaben Dhirubhai Ambani Hospital,19.288549503770255,72.83597057263586,Orthopedics,65,18,2,ALS,burn injury,moderate,High,32
167,Breach Candy Hospital,18.890921237282665,72.88413564786075,Orthopedics,105,35,2,ICU,bleeding,severe,Low,75
168,Tata Memorial Hospital,19.052060801484156,72.86737138162762,Gynecology,28,36,0,BLS,headache,mild,Moderate,62
169,Nanavati Max Hospital,19.282622951061576,72.8469011068344,General Medicine,148,13,9,BLS,burn injury,moderate,Low,114
170,Bhaktivedanta Hospital,19.06689243371959,72.82005186054863,Gynecology,12,20,6,ALS,fever,mild,Low,59
171,Bombay Hospital,19.099479642470907,72.77187200863904,Cardiology,97,29,5,Cardiac,fever,mild,High,62
172,CritiCare Hospital,18.91181290556946,72.79894809802408,General Medicine,140,7,15,ALS,burn injury,moderate,High,9
173,Wockhardt Hospital Mumbai Central,19.10335525864586,72.95758566666657,Pulmonology,114,21,12,ALS,headache,mild,Moderate,78
174,SRV Hospital Goregaon,18.979798494446133,72.9767855208869,Trauma,115,10,20,ICU,vomiting,moderate,High,110
175,Hinduja Hospital Mahim,19.023162331079476,72.86447414858142,Neurology,137,50,6,ALS,fever,mild,High,61
176,SRV Hospital Goregaon,18.980824931237255,72.85228094557321,Pediatrics,92,3,8,Cardiac,unconscious,severe,Low,17
177,SevenHills Hospital,19.01820992734628,72.90471072232243,Pediatrics,53,28,15,Cardiac,breathing difficulty,severe,Moderate,32
178,Fortis Hospital Mulund,18.896136057603734,72.92348835108166,Pulmonology,100,41,0,BLS,dizziness,mild,Low,71
179,SevenHills Hospital,19.19223160069756,72.81550847205492,Pulmonology,29,2,12,Cardiac,vomiting,moderate,High,28
180,Hiranandani Hospital Powai,19.26502846172311,72.76616256995014,Neurology,85,36,12,Cardiac,chest pain,severe,Low,107
181,Wockhardt Hospital Mumbai Central,18.9662545362504,72.91630983451815,Neurology,120,31,12,Cardiac,headache,mild,Low,55
182,Cooper Hospital,19.172293482065353,72.92348132241405,Gynecology,20,12,12,ICU,dizziness,mild,Moderate,108
183,Fortis Hospital Mulund,19.057629244875287,72.82550269588576,Neurology,58,2,16,ALS,chest pain,severe,Moderate,33
184,Fortis Hospital Mulund,19.236593675046727,72.96473923053884,Gynecology,47,13,12,ALS,headache,mild,Moderate,11
185,Bhaktivedanta Hospital,19.281454486954704,72.9514917161412,Burns,90,34,16,ICU,fever,mild,High,69
186,Saifee Hospital,19.084536286760006,72.83320530257967,Pediatrics,110,21,17,ALS,burn injury,moderate,Low,80
187,Terna Hospital,19.132295288357657,72.88964639880972,General Medicine,84,44,12,Cardiac,fever,mild,Low,95
188,Sion Hospital,19.03951450726791,72.93053970401444,Pediatrics,138,28,0,ICU,fracture,moderate,High,19
189,SRV Hospital Goregaon,18.97780015102432,72.89920531368931,Cardiology,54,47,8,Cardiac,fever,mild,Low,67
190,Reliance Hospital,19.071690503474766,72.76724499208949,Trauma,30,22,15,ALS,bleeding,severe,Low,114
191,Kokilaben Dhirubhai Ambani Hospital,19.12597148954189,72.89068250925895,General Medicine,38,7,12,BLS,high blood pressure,moderate,High,37
192,Nair Hospital,19.260245282157516,72.76578097876715,Gynecology,56,38,2,Cardiac,headache,mild,Moderate,85
193,Tata Memorial Hospital,19.094330103996302,72.87000298503793,General Medicine,150,15,9,Cardiac,headache,mild,Moderate,71
194,Reliance Hospital,18.98274881627332,72.941696495581,Pediatrics,16,19,17,ICU,fever,mild,Moderate,112
195,Sushrut Hospital,19.059653925720326,72.76105937349995,Trauma,126,32,12,ICU,dizziness,mild,High,103
196,Nanavati Max Hospital,19.21462827406256,72.80753779205425,Cardiology,28,3,12,ALS,dizziness,mild,Moderate,12
197,Rajawadi Hospital,18.99116959209212,72.79103610120745,General Medicine,123,1,20,Cardiac,dizziness,mild,Low,18
198,Nanavati Max Hospital,19.29379211719941,72.97188362480006,Gynecology,93,40,4,BLS,high blood pressure,moderate,Moderate,40
199,Sion Hospital,19.210141152560215,72.87270003746265,Orthopedics,119,29,18,BLS,unconscious,severe,High,51
200,KEM Hospital,19.123844893243806,72.7785300599312,Burns,53,42,18,ICU,breathing difficulty,severe,Low,40
201,Lilavati Hospital,19.178879733180345,72.81989719404102,Neurology,59,35,0,ICU,chest pain,severe,Moderate,80
202,SL Raheja Hospital,18.91427559577577,72.8286066640062,Cardiology,142,26,18,ALS,burn injury,moderate,Low,104
203,Kokilaben Dhirubhai Ambani Hospital,19.10293449136998,72.94062441880078,Trauma,35,9,11,Cardiac,dizziness,mild,Moderate,53
204,Saifee Hospital,18.93963117968719,72.82454329577466,Neurology,144,10,3,ICU,fever,mild,Moderate,73
205,Nair Hospital,19.221121972252256,72.97952694501875,Pediatrics,106,37,5,BLS,fracture,moderate,Low,44
206,Shivaji Park Hospital,18.926718374265647,72.77788562870258,Pulmonology,19,43,11,BLS,dizziness,mild,Moderate,111
207,SL Raheja Hospital,19.18739442145145,72.87873823580361,Trauma,117,38,8,BLS,fever,mild,High,70
208,Sion Hospital,19.074895588584752,72.80245717605119,Neurology,76,12,9,ALS,unconscious,severe,Low,68
209,Jaslok Hospital,19.263771104990706,72.95909707347981,Pediatrics,47,26,15,ALS,fever,mild,High,57
210,Rajawadi Hospital,19.29782848272185,72.89645535408798,Pulmonology,89,2,14,ICU,breathing difficulty,severe,Low,62
211,KEM Hospital,18.926705576631722,72.88608673787867,Cardiology,36,44,19,BLS,vomiting,moderate,High,57
212,SRV Hospital Goregaon,19.201174444768466,72.83894505201981,Trauma,37,14,8,ALS,chest pain,severe,Low,49
213,Shushrusha Hospital,19.080300877153242,72.91508405375356,General Medicine,90,5,13,BLS,headache,mild,Moderate,13
214,SevenHills Hospital,19.11728215603542,72.92398375591738,Pulmonology,144,11,5,ICU,fever,mild,High,63
215,Jaslok Hospital,19.137252537696106,72.96968960558563,Orthopedics,57,34,17,ICU,fever,mild,High,42
216,Saifee Hospital,19.250711497072565,72.93885094980108,Trauma,31,25,6,BLS,high blood pressure,moderate,Moderate,14
217,Terna Hospital,19.201483093178044,72.79763850830277,Orthopedics,130,11,17,ALS,high blood pressure,moderate,Low,47
218,Nanavati Max Hospital,18.92514427059521,72.97012238049157,Trauma,23,23,2,Cardiac,headache,mild,Moderate,106
219,Hiranandani Hospital Powai,19.235168679446858,72.93867980923261,Burns,51,20,3,Cardiac,breathing difficulty,severe,Low,40
220,Lilavati Hospital,18.935059895638727,72.86271851715244,General Medicine,45,5,3,ICU,unconscious,severe,Low,82
221,Sushrut Hospital,18.88906329937389,72.89206623341285,Gynecology,13,39,7,ALS,vomiting,moderate,Moderate,109
222,SRV Hospital Goregaon,19.227860988251223,72.76251061287138,Orthopedics,35,2,18,Cardiac,dizziness,mild,Low,87
223,Bombay Hospital,19.017176743075886,72.78887700012153,Burns,119,0,8,BLS,breathing difficulty,severe,Moderate,40
224,Hinduja Hospital Mahim,19.15807194405453,72.96648730520991,Pediatrics,8,47,5,ICU,headache,mild,Low,38
225,Sion Hospital,18.948260156775625,72.83033717572972,Gynecology,27,42,2,BLS,burn injury,moderate,High,14
226,Bhaktivedanta Hospital,19.120601051324375,72.92147731995489,Orthopedics,96,22,7,Cardiac,dizziness,mild,Low,110
227,Sushrut Hospital,19.072600024629246,72.80078755642403,Pediatrics,17,38,10,ICU,fever,mild,Moderate,97
228,Global Hospital Parel,19.137600533703658,72.91399429445582,Cardiology,137,37,19,Cardiac,burn injury,moderate,Low,7
229,Sion Hospital,18.98318251102785,72.87709453628489,Neurology,145,1,18,ICU,breathing difficulty,severe,High,119
230,Shivaji Park Hospital,18.89365570044201,72.94554571644414,Neurology,135,25,20,Cardiac,vomiting,moderate,Low,52
231,SRV Hospital Goregaon,19.2496016592883,72.80503359800896,Pulmonology,127,42,2,Cardiac,burn injury,moderate,Low,73
232,Cooper Hospital,19.280580050791492,72.76843534819538,General Medicine,26,12,1,BLS,burn injury,moderate,Low,52
